Year,av_annual_t,av_5_annual_t,Annual_lower_anomaly,Annual_upper_anomaly
1987,0.20712499999999998,0.1749166666666667,0.38608333333333333,0.028166666666666673
1988,0.2809583333333333,0.22608333333333339,0.5365,0.025416666666666667
1989,0.22237499999999996,0.26379166666666665,0.4126666666666667,0.032083333333333346
1990,0.31425000000000003,0.251875,0.6039166666666667,0.024583333333333332
1991,0.3205416666666667,0.22220833333333334,0.615,0.026083333333333337
1992,0.1462083333333333,0.22962499999999997,0.26150000000000007,0.030916666666666676
1993,0.1320416666666667,0.23608333333333334,0.23891666666666667,0.02516666666666667
1994,0.2555833333333334,0.22124999999999995,0.49550000000000005,0.015666666666666666
1995,0.34504166666666664,0.258875,0.676,0.014083333333333337
1996,0.24650000000000002,0.32320833333333326,0.4781666666666667,0.014833333333333332
1997,0.32779166666666676,0.3420000000000001,0.6341666666666667,0.021416666666666664
1998,0.4577083333333334,0.33829166666666666,0.8974999999999999,0.017916666666666674
1999,0.3475000000000001,0.3718749999999999,0.6771666666666666,0.01783333333333333
2000,0.32708333333333334,0.40362499999999996,0.6429166666666666,0.011249999999999998
2001,0.42029166666666673,0.4029583333333333,0.8196666666666667,0.020916666666666667
2002,0.48804166666666665,0.4137916666666667,0.9474166666666667,0.028666666666666674
2003,0.4513749999999999,0.4535833333333333,0.8776666666666667,0.025083333333333332
2004,0.39720833333333333,0.4740416666666667,0.7679166666666667,0.026500000000000006
2005,0.5231666666666667,0.4839166666666666,1.0285,0.01783333333333333
2006,0.5229166666666667,0.48633333333333323,1.0233333333333334,0.022499999999999996
2007,0.5392083333333333,0.5119166666666666,1.0505000000000002,0.027916666666666673
2008,0.46716666666666673,0.5155,0.8793333333333333,0.05499999999999999
2009,0.523625,0.5102083333333333,0.9813333333333333,0.06591666666666668
2010,0.53775,0.5000833333333333,1.0276666666666665,0.04783333333333333
2011,0.49304166666666666,0.50875,0.9388333333333335,0.04724999999999999
2012,0.48808333333333337,0.5125833333333333,0.9385,0.03766666666666666
2013,0.5105000000000001,0.5360833333333334,0.9745833333333334,0.04641666666666666
2014,0.5416666666666666,0.5828749999999999,1.0411666666666668,0.04216666666666666
2015,0.6544583333333335,0.6133333333333334,1.2735,0.03541666666666668
2016,0.7295833333333334,0.6344166666666667,1.4256666666666666,0.0335
2017,0.6395833333333333,0.6672916666666667,1.2474166666666664,0.03175000000000001
2018,0.6161666666666666,0.6812916666666666,1.1909166666666666,0.041416666666666664
2019,0.7065,0.66675,1.3689166666666666,0.04408333333333333
2020,0.7232916666666668,0.6710416666666666,1.4053333333333338,0.04124999999999999
2021,0.6553749999999999,0.7105,1.2705833333333334,0.04016666666666666
2022,0.659125,NaN,1.2780833333333335,0.040166666666666656
2023,0.8159999999999998,NaN,1.5981666666666667,0.033833333333333326
2024,NaN,NaN,NaN,NaN
